candidate_set_size,scoring_mode,ordering,k,victim_accuracy_drop_mean,victim_accuracy_drop_std
2500,endpoint,endpoint_label_asc,1880,0.006482219696044922,0.004917734602921352
2500,endpoint,endpoint_label_asc,1890,0.0064822077751159664,0.004188605146540125
2500,endpoint,endpoint_label_asc,1900,0.006640315055847168,0.004196039519918855
2500,endpoint,endpoint_label_asc,1910,0.0067984223365783695,0.004233126013008706
2500,endpoint,endpoint_label_asc,1920,0.007114624977111817,0.004401378570490377
2500,endpoint,endpoint_label_asc,1930,0.00735177993774414,0.004468318372124725
2500,endpoint,endpoint_label_asc,1940,0.007430827617645264,0.0049792765614027415
2500,endpoint,endpoint_label_asc,1950,0.007667970657348633,0.00468174605805768
2500,endpoint,endpoint_label_asc,1960,0.0076679825782775875,0.004563455916376809
2500,endpoint,endpoint_label_asc,1970,0.0076679825782775875,0.004344221707793122
2500,endpoint,endpoint_label_asc,1980,0.007905149459838867,0.004383600719405353
2500,endpoint,endpoint_label_asc,1990,0.007826089859008789,0.004527373155720875
2500,endpoint,endpoint_label_asc,2000,0.0076679825782775875,0.00471501021834532
2500,endpoint,endpoint_label_asc,2010,0.007509899139404297,0.00457543408540768
2500,endpoint,endpoint_label_asc,2020,0.007905149459838867,0.004832816640334735
2500,endpoint,endpoint_label_asc,2030,0.007826077938079833,0.004638167569230761
2500,endpoint,endpoint_label_asc,2040,0.008063244819641113,0.004380046710024164
2500,endpoint,endpoint_label_asc,2050,0.00798419713973999,0.0046967297009527596
2500,endpoint,endpoint_label_asc,2060,0.0076679825782775875,0.004477062262054936
2500,endpoint,endpoint_label_asc,2070,0.007509887218475342,0.004098120153395789
2500,endpoint,endpoint_label_asc,2080,0.0071936845779418945,0.004680080960403652
2500,endpoint,endpoint_label_asc,2090,0.007351768016815185,0.004639837553193965
2500,endpoint,endpoint_label_asc,2100,0.00695650577545166,0.00451181850418707
2500,endpoint,endpoint_label_asc,2110,0.0068774580955505375,0.004424408942697507
2500,endpoint,endpoint_label_asc,2120,0.00695652961730957,0.004477076996184007
2500,endpoint,endpoint_label_asc,2130,0.00719367265701294,0.004721629789482887
2500,endpoint,endpoint_label_asc,2140,0.007351791858673096,0.005004319088110245
2500,endpoint,endpoint_label_asc,2150,0.007667994499206543,0.005544879496506061
2500,endpoint,endpoint_label_asc,2160,0.0076679825782775875,0.006056583422061884
2500,endpoint,endpoint_label_asc,2170,0.00845850706100464,0.007035126250732314
2500,endpoint,endpoint_label_asc,2180,0.009169971942901612,0.0074963343991402516
2500,endpoint,endpoint_label_asc,2190,0.009881424903869628,0.0083939783022513
2500,endpoint,endpoint_label_asc,2200,0.011146235466003417,0.008839980021320136
2500,endpoint,endpoint_label_asc,2210,0.01225297451019287,0.009073711695716859
2500,endpoint,endpoint_label_asc,2220,0.013122522830963134,0.009001949412596383
2500,endpoint,endpoint_label_asc,2230,0.014545464515686035,0.009325870438053756
2500,endpoint,endpoint_label_asc,2240,0.01533597707748413,0.009922432065465187
2500,endpoint,endpoint_label_asc,2250,0.016363644599914552,0.009280541642375188
2500,endpoint,endpoint_label_asc,2260,0.017391300201416014,0.009086620386082074
2500,endpoint,endpoint_label_asc,2270,0.01928853988647461,0.008755633111316824
2500,endpoint,endpoint_label_asc,2280,0.02007906436920166,0.00842832422590275
2500,endpoint,endpoint_label_asc,2290,0.02094860076904297,0.008407923646568912
2500,endpoint,endpoint_label_asc,2300,0.022292506694793702,0.008548886576055376
2500,endpoint,endpoint_label_asc,2310,0.022687745094299317,0.00831261880915572
2500,endpoint,endpoint_label_asc,2320,0.023873531818389894,0.007878409047134284
2500,endpoint,endpoint_label_asc,2330,0.023873519897460938,0.007697858246643918
2500,endpoint,endpoint_label_asc,2340,0.025059282779693604,0.007001737681555141
2500,endpoint,endpoint_label_asc,2350,0.025849795341491698,0.006984981945405504
2500,endpoint,endpoint_label_asc,2360,0.026798415184020995,0.007166020761988022
2500,endpoint,endpoint_label_asc,2370,0.027588927745819093,0.007166031117942345
2500,endpoint,endpoint_label_asc,2380,0.028458499908447267,0.008276828986286866
2500,endpoint,endpoint_label_asc,2390,0.02885376214981079,0.007426205101175005
2500,endpoint,endpoint_label_asc,2400,0.02988142967224121,0.007808690623418923
2500,endpoint,endpoint_label_asc,2410,0.030909085273742677,0.008049060869654427
2500,endpoint,endpoint_label_asc,2420,0.03154149055480957,0.007691764998246637
2500,endpoint,endpoint_label_asc,2430,0.031462442874908444,0.00747651274501035
2500,endpoint,endpoint_label_asc,2440,0.03201580047607422,0.008105184863496172
2500,endpoint,endpoint_label_asc,2450,0.03280631303787231,0.007850590213657466
2500,endpoint,endpoint_label_asc,2460,0.03446640968322754,0.008353872583177956
2500,endpoint,endpoint_label_asc,2470,0.035177862644195555,0.008555289769853227
2500,endpoint,endpoint_label_asc,2480,0.03620554208755493,0.008160868764535516
2500,endpoint,endpoint_label_asc,2490,0.03699605464935303,0.0077685889795982834
2500,endpoint,endpoint_label_asc,2500,0.037628459930419925,0.008288153499142806
2500,endpoint,endpoint_label_desc,0,0.0,0.0
2500,endpoint,endpoint_label_desc,10,0.003320169448852539,0.000865967477425707
2500,endpoint,endpoint_label_desc,20,0.00656125545501709,0.001172521823379858
2500,endpoint,endpoint_label_desc,30,0.009249019622802734,0.001928232699179625
2500,endpoint,endpoint_label_desc,40,0.011304354667663575,0.0017808399732782982
2500,endpoint,endpoint_label_desc,50,0.013280630111694336,0.001667579034329366
2500,endpoint,endpoint_label_desc,60,0.015177881717681885,0.0014414488401072222
2500,endpoint,endpoint_label_desc,70,0.017470347881317138,0.0011658181252101987
2500,endpoint,endpoint_label_desc,80,0.019209492206573486,0.0011724886702707716
2500,endpoint,endpoint_label_desc,90,0.021501982212066652,0.0017364232891089338
2500,endpoint,endpoint_label_desc,100,0.02276679277420044,0.002246352630308513
2500,endpoint,endpoint_label_desc,110,0.02561265230178833,0.0026720056198341643
2500,endpoint,endpoint_label_desc,120,0.02750988006591797,0.0034070031453855903
2500,endpoint,endpoint_label_desc,130,0.029328060150146485,0.003743491854185378
2500,endpoint,endpoint_label_desc,140,0.03059288263320923,0.004388948211528584
2500,endpoint,endpoint_label_desc,150,0.0322529673576355,0.0036718359932362025
2500,endpoint,endpoint_label_desc,160,0.034071147441864014,0.004139826853148969
2500,endpoint,endpoint_label_desc,170,0.03557311296463013,0.004311738619141351
2500,endpoint,endpoint_label_desc,180,0.03715413808822632,0.004302671637815573
2500,endpoint,endpoint_label_desc,190,0.039051389694213866,0.0035175668091869746
