candidate_set_size,scoring_mode,block_size,epsilon,use_cert,epoch,accuracy_mean,accuracy_std,loss_mean,loss_std,weights_above_eps_mean,weights_above_eps_std,probability_mass_update_mean,probability_mass_update_std,probability_mass_projected_mean,probability_mass_projected_std,n_seeds
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,9,0.7592386484146119,0.04042378308113932,-0.4925746023654938,0.06620018782908689,6734.0,259.82301668635904,93.22470474243164,23.566911532444095,93.22470474243164,23.566911532444095,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,10,0.7581772804260254,0.04046478375006783,-0.4908708453178406,0.06632890582180842,6695.8,283.029503762417,105.70912475585938,25.22043714902998,105.70912475585938,25.22043714902998,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,11,0.7570648431777954,0.04052492573359523,-0.4891721665859222,0.06643769869101085,6640.6,273.2110905508779,118.27794952392578,26.658794366873288,118.27794952392578,26.658794366873288,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,12,0.7559728503227234,0.040808387271719974,-0.4875052869319916,0.06646450301202521,6611.4,328.6164938039477,130.97470397949218,27.93161826562707,130.97470397949218,27.93161826562707,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,13,0.7549829006195068,0.04081642607394974,-0.4858687400817871,0.06650226267718498,6609.6,332.278949077428,143.70494689941407,28.97907950644683,143.70494689941407,28.97907950644683,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,14,0.7542582988739014,0.040832370347257056,-0.4842577278614044,0.06648054030796922,6539.4,338.9989675500502,156.38260192871093,29.925901855877985,156.38260192871093,29.925901855877985,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,15,0.7532683610916138,0.04087075887222096,-0.48267248272895813,0.06640027566843777,6551.2,352.892618228265,168.98661193847656,30.62462645782997,168.98661193847656,30.62462645782997,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,16,0.7522682070732116,0.0406465845774716,-0.4811092257499695,0.06635896001938692,6518.0,365.8913773239266,181.52760009765626,31.215802434980738,181.52760009765626,31.215802434980738,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,17,0.7513190865516662,0.040363036755178244,-0.479612398147583,0.06625431442950468,6511.2,395.55871877636577,194.00812683105468,31.64187025393703,194.00812683105468,31.64187025393703,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,18,0.7504618048667908,0.04020377009410693,-0.47814139127731325,0.06611741004424992,6473.6,344.73366531280345,206.37798461914062,31.946569788270576,206.37798461914062,31.946569788270576,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,19,0.7497474193572998,0.04023556883181813,-0.47673324346542356,0.06598449813502436,6442.4,348.71593023548553,218.61335144042968,32.12527110883176,218.61335144042968,32.12527110883176,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,20,0.7489309668540954,0.04005161311193146,-0.4753477036952972,0.06586480317383166,6408.6,373.19874061952567,230.7049560546875,32.23017172860368,230.7049560546875,32.23017172860368,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,21,0.7481349229812622,0.03994014310665515,-0.4740169525146484,0.06571263980195491,6401.6,368.99972899719046,242.70047607421876,32.275040902526946,242.70047607421876,32.275040902526946,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,22,0.7475430011749268,0.03977384722709046,-0.47272794246673583,0.06554419851962609,6363.2,352.5977878546603,254.53809814453126,32.338815848353185,254.53809814453126,32.338815848353185,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,23,0.7467775702476501,0.039751312512196504,-0.4714394211769104,0.06542104604217047,6375.6,365.90955166543546,266.3189208984375,32.302038186701786,266.3189208984375,32.302038186701786,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,24,0.7461448192596436,0.0397123156262768,-0.47019387483596803,0.06529154727261188,6363.6,394.6932986509905,277.9563781738281,32.252427952387805,277.9563781738281,32.252427952387805,5
