candidate_set_size,shared_cand_set_size,label_mode,ordering,k,victim_accuracy_drop_mean,victim_accuracy_drop_std,n_seeds
2500,10000,endpoint,random,1520,0.031462454795837404,0.005899802765244843,5
2500,10000,endpoint,random,1530,0.031225287914276124,0.005441066623680023,5
2500,10000,endpoint,random,1540,0.031541502475738524,0.0048198537816373545,5
2500,10000,endpoint,random,1550,0.031383407115936277,0.004861795771793002,5
2500,10000,endpoint,random,1560,0.031225287914276124,0.005084840374146797,5
2500,10000,endpoint,random,1570,0.031304347515106204,0.005283740872585733,5
2500,10000,endpoint,random,1580,0.031383395195007324,0.005081787936279703,5
2500,10000,endpoint,random,1590,0.031699609756469724,0.005400714236974811,5
2500,10000,endpoint,random,1600,0.03201581239700317,0.005332301627794297,5
2500,10000,endpoint,random,1610,0.0322529673576355,0.00548824216651516,5
2500,10000,endpoint,random,1620,0.0320948600769043,0.005224265590141535,5
2500,10000,endpoint,random,1630,0.03272726535797119,0.00537169928399591,5
2500,10000,endpoint,random,1640,0.03312251567840576,0.006061743385064008,5
2500,10000,endpoint,random,1650,0.03312251567840576,0.00609387701085165,5
2500,10000,endpoint,random,1660,0.03304346799850464,0.005495338161110828,5
2500,10000,endpoint,random,1670,0.03304346799850464,0.005488225854473999,5
2500,10000,endpoint,random,1680,0.033754932880401614,0.005488231864122799,5
2500,10000,endpoint,random,1690,0.03328062295913696,0.005996961769551948,5
2500,10000,endpoint,random,1700,0.03367588520050049,0.005472558296915303,5
2500,10000,endpoint,random,1710,0.03328062295913696,0.005641234830151488,5
2500,10000,endpoint,random,1720,0.033754932880401614,0.005081774491804506,5
2500,10000,endpoint,random,1730,0.03343873023986817,0.004597562936596501,5
2500,10000,endpoint,random,1740,0.03328063488006592,0.004860196722013908,5
2500,10000,endpoint,random,1750,0.03343874216079712,0.004925669769216695,5
2500,10000,endpoint,random,1760,0.03415020704269409,0.004580558916289224,5
2500,10000,endpoint,random,1770,0.03478262424468994,0.004347817464344772,5
2500,10000,endpoint,random,1780,0.03541501760482788,0.004299034832916859,5
2500,10000,endpoint,random,1790,0.03549407720565796,0.004306285676401183,5
2500,10000,endpoint,random,1800,0.035177862644195555,0.004419114224060707,5
2500,10000,endpoint,random,1810,0.03541500568389892,0.0049097695772919855,5
2500,10000,endpoint,random,1820,0.035177874565124514,0.0044805395813460975,5
2500,10000,endpoint,random,1830,0.03446640968322754,0.004955718506555252,5
2500,10000,endpoint,random,1840,0.03430830240249634,0.0044665679092875,5
2500,10000,endpoint,random,1850,0.03438735008239746,0.004284482861471095,5
2500,10000,endpoint,random,1860,0.03478260040283203,0.00428447598806276,5
2500,10000,endpoint,random,1870,0.03486166000366211,0.004422636572754859,5
2500,10000,endpoint,random,1880,0.035335969924926755,0.004335216414885745,5
2500,10000,endpoint,random,1890,0.035494065284729,0.004387166617344631,5
2500,10000,endpoint,random,1900,0.03581027984619141,0.004299052369211394,5
2500,10000,endpoint,random,1910,0.035335969924926755,0.0043442276732056275,5
2500,10000,endpoint,random,1920,0.035098814964294435,0.004705041117660571,5
2500,10000,endpoint,random,1930,0.03509882688522339,0.004449062203918343,5
2500,10000,endpoint,random,1940,0.0356521725654602,0.0038968300686920655,5
2500,10000,endpoint,random,1950,0.035335981845855714,0.004141725651622953,5
2500,10000,endpoint,random,1960,0.035177862644195555,0.004164297179999803,5
2500,10000,endpoint,random,1970,0.035177862644195555,0.004021131635728595,5
2500,10000,endpoint,random,1980,0.03501976728439331,0.00478079004683219,5
2500,10000,endpoint,random,1990,0.03501976728439331,0.005019921688273557,5
2500,10000,endpoint,random,2000,0.03430829048156738,0.0056273750540054845,5
2500,10000,endpoint,random,2010,0.03430830240249634,0.005313218663033204,5
2500,10000,endpoint,random,2020,0.03415018320083618,0.005826511000447948,5
2500,10000,endpoint,random,2030,0.03446640968322754,0.0060746313889050284,5
2500,10000,endpoint,random,2040,0.03415020704269409,0.005523691971928449,5
2500,10000,endpoint,random,2050,0.03415020704269409,0.004681740522706703,5
2500,10000,endpoint,random,2060,0.03438736200332641,0.004668396283625544,5
2500,10000,endpoint,random,2070,0.034071159362792966,0.004876248414703493,5
2500,10000,endpoint,random,2080,0.03399209976196289,0.004668383667332592,5
2500,10000,endpoint,random,2090,0.03462451696395874,0.004957293160263135,5
2500,10000,endpoint,random,2100,0.03549407720565796,0.004629738645433443,5
2500,10000,endpoint,random,2110,0.035335969924926755,0.004371117649315126,5
2500,10000,endpoint,random,2120,0.035098814964294435,0.004900215707317847,5
2500,10000,endpoint,random,2130,0.035177862644195555,0.004718304687434114,5
2500,10000,endpoint,random,2140,0.035098814964294435,0.0046549727970789856,5
2500,10000,endpoint,random,2150,0.035098814964294435,0.004233138535240711,5
2500,10000,endpoint,random,2160,0.0353359580039978,0.004406721597169468,5
2500,10000,endpoint,random,2170,0.035573136806488034,0.004383603406632107,5
