candidate_set_size,shared_cand_set_size,label_mode,ordering,k,victim_accuracy_drop_mean,victim_accuracy_drop_std,n_seeds
2500,10000,endpoint,random,1350,0.04139038324356079,0.005628950526323655,5
2500,10000,endpoint,random,1360,0.04181817770004272,0.005299254003814067,5
2500,10000,endpoint,random,1370,0.04117648601531983,0.004661913625649394,5
2500,10000,endpoint,random,1380,0.0404278039932251,0.005220418930517427,5
2500,10000,endpoint,random,1390,0.04064170122146606,0.0054403538766556875,5
2500,10000,endpoint,random,1400,0.04117647409439087,0.005505670292278969,5
2500,10000,endpoint,random,1410,0.04128342866897583,0.004788993419854513,5
2500,10000,endpoint,random,1420,0.04213902950286865,0.0045595878545387205,5
2500,10000,endpoint,random,1430,0.04342244863510132,0.005285731298815946,5
2500,10000,endpoint,random,1440,0.044171130657196044,0.00566693784706163,5
2500,10000,endpoint,random,1450,0.04417111873626709,0.005220410993113334,5
2500,10000,endpoint,random,1460,0.044171142578125,0.006197208812804069,5
2500,10000,endpoint,random,1470,0.04449198246002197,0.006019321399139346,5
2500,10000,endpoint,random,1480,0.045026743412017824,0.005312698792134017,5
2500,10000,endpoint,random,1490,0.044278061389923094,0.00451230012602875,5
2500,10000,endpoint,random,1500,0.04459892511367798,0.004047939455279458,5
2500,10000,endpoint,random,1510,0.04459891319274902,0.00503922373955971,5
2500,10000,endpoint,random,1520,0.04438502788543701,0.0057719224819713566,5
2500,10000,endpoint,random,1530,0.043743324279785153,0.005162556385877547,5
2500,10000,endpoint,random,1540,0.04363635778427124,0.006534112566196608,5
2500,10000,endpoint,random,1550,0.04395720958709717,0.006715425510635285,5
2500,10000,endpoint,random,1560,0.04331550598144531,0.007003108367120975,5
2500,10000,endpoint,random,1570,0.04459892511367798,0.006947742103785582,5
2500,10000,endpoint,random,1580,0.04417111873626709,0.007328355964011854,5
2500,10000,endpoint,random,1590,0.044278073310852054,0.007556976143125329,5
2500,10000,endpoint,random,1600,0.04331551790237427,0.008048063554887208,5
2500,10000,endpoint,random,1610,0.0436363697052002,0.007308798058168915,5
2500,10000,endpoint,random,1620,0.04299464225769043,0.007982080221673963,5
2500,10000,endpoint,random,1630,0.044598937034606934,0.008246403609372583,5
2500,10000,endpoint,random,1640,0.04417111873626709,0.008298234813161935,5
2500,10000,endpoint,random,1650,0.044278085231781006,0.008741292592319504,5
2500,10000,endpoint,random,1660,0.04331550598144531,0.008180226921584332,5
2500,10000,endpoint,random,1670,0.043529415130615236,0.00819419885782688,5
2500,10000,endpoint,random,1680,0.04342246055603027,0.009501564019151686,5
2500,10000,endpoint,random,1690,0.04449198246002197,0.009218955331268052,5
2500,10000,endpoint,random,1700,0.04449197053909302,0.009218966740829858,5
